,MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,LONG_017,LAT_016
14143,1,12,1996,48095,2019,0,0,2,0.0,6,9,32.7,54.4,5,2,35.1,83.8,34.7,36.2,1,1,1,0,0,94574823,29450212
14144,1,12,2002,15760,2010,0,0,2,0.0,6,9,32.7,54.4,5,2,36.6,1095.5,12.2,13.0,1,1,1,0,0,94590896,29444936
14145,1,12,1982,25763,2019,0,0,1,0.0,7,9,32.7,54.4,5,2,25.6,101.8,19.9,23.0,1,1,1,0,0,94590993,29445002
14146,1,12,1982,38435,2019,0,0,1,0.0,6,6,32.7,54.4,5,2,25.6,101.8,16.6,17.4,1,1,1,0,0,94591137,29444614
14147,1,12,2010,51900,2011,8,0,1,0.0,7,9,32.7,54.4,4,2,67.1,319.4,12.2,13.0,1,1,1,0,0,94591515,29444416
14148,1,12,2010,51900,2013,8,0,2,2014.0,7,8,32.7,54.4,5,2,44.2,1321.0,7.9,8.8,1,1,1,0,0,94592622,29451029
14149,1,12,2010,51900,2011,8,0,2,0.0,7,8,32.7,54.4,5,2,36.6,288.6,7.9,8.8,1,1,1,0,0,94593075,29451314
14150,1,12,2010,11880,2011,8,0,2,0.0,7,8,32.7,54.4,5,2,35.1,630.0,7.9,8.8,1,1,1,0,0,94585437,29445947
14151,1,12,2009,6400,2010,8,0,2,0.0,8,2,32.7,54.4,5,2,36.3,36.6,7.9,28.1,1,1,1,1,0,95010829,29384608
14152,1,12,1948,190854,2021,0,0,1,1985.0,6,9,32.7,44.4,4,2,16.2,292.0,41.1,43.3,1,1,1,0,0,95210752,29441887
14153,1,12,1948,190854,2021,0,0,1,1985.0,6,9,29.0,44.4,4,2,23.2,206.0,41.1,43.3,1,1,1,0,0,95205044,29440826
14154,1,12,1948,184380,2013,0,0,1,1985.0,6,9,26.3,43.5,4,2,24.4,214.6,41.1,43.3,1,1,1,0,0,95203186,29435444
14155,1,12,1948,78030,2013,0,0,1,1985.0,6,4,29.9,49.9,4,2,24.4,363.3,14.5,17.6,1,1,1,0,0,95201807,29434416
14156,1,12,1948,92190,2013,8,0,1,1985.0,6,4,32.7,54.4,4,2,25.3,368.2,19.3,23.6,1,1,1,0,0,95194105,29432121
14157,1,12,1949,92190,2013,0,0,1,1983.0,6,4,32.7,44.4,4,2,42.4,110.9,21.3,25.2,1,1,1,0,0,95191497,29430659
14158,1,12,1950,98792,2017,8,0,1,1983.0,6,4,29.9,49.0,4,2,24.4,112.8,17.2,21.5,1,1,1,1,0,95183922,29424332
14159,1,12,1950,82717,2017,0,0,1,2019.0,6,2,40.8,68.0,3,2,15.9,340.2,10.9,21.5,1,1,1,0,0,95181861,29423022
14160,1,12,1951,156215,2020,0,0,1,1981.0,6,4,32.7,44.4,4,2,22.9,89.9,41.5,43.1,1,1,1,0,0,95174365,29420733
14161,1,12,1952,208346,2020,0,0,1,1982.0,5,9,31.7,52.6,4,2,16.8,216.4,41.5,43.1,1,0,1,0,0,95163870,29410825
14162,1,12,1948,132815,2020,0,0,0,1990.0,6,0,24.5,32.7,1,19,2.1,7.6,0.0,0.0,0,0,0,1,1,95145399,29385201
14163,1,12,1990,132815,2020,0,0,0,0.0,5,0,23.6,39.9,1,19,1.8,11.6,0.0,0.0,0,0,0,1,1,95134770,29374510
14164,1,12,1948,133911,2020,0,0,0,2021.0,5,0,23.6,39.9,1,19,3.0,8.2,0.0,0.0,0,0,0,1,1,95071115,29304516
14165,1,12,1949,244789,2021,0,0,0,1967.0,6,0,24.5,40.8,1,19,1.8,10.4,0.0,0.0,0,0,0,1,0,95232849,29503596
14166,1,12,1949,244789,2021,0,0,0,1959.0,6,9,24.5,32.7,1,19,3.0,11.9,56.1,61.0,0,0,0,1,1,95231107,29500924
14167,1,12,1954,1340,2013,0,0,1,1967.0,6,8,37.2,61.7,4,2,44.2,230.4,11.1,11.7,0,1,1,0,0,95212432,29443158
14168,1,12,1955,7430,2011,0,0,1,0.0,7,2,32.7,54.4,4,2,21.6,42.1,14.3,19.1,1,1,1,0,0,95222822,29452779
14169,1,12,1955,9250,2010,8,0,1,0.0,5,3,32.7,54.4,4,2,21.0,46.3,8.5,9.8,1,0,1,0,0,95222792,29451389
14170,1,12,1955,103563,2017,0,0,1,0.0,6,3,29.9,49.9,4,2,39.6,235.9,12.2,13.0,1,1,1,1,0,95222621,29453423
14171,1,12,1959,225364,2021,0,0,1,1980.0,6,9,40.8,68.0,5,2,18.3,70.1,41.9,44.1,1,1,1,0,0,95242768,29521130
14172,1,12,1959,225364,2021,0,0,1,1980.0,6,9,40.8,68.0,5,2,16.8,67.1,41.9,44.1,1,1,1,0,0,95240889,29513411
14173,1,12,1959,210339,2021,0,1,1,1980.0,6,9,32.7,54.4,5,2,16.8,67.1,41.9,44.1,0,1,1,0,0,95233390,29504379
14174,1,12,1958,23858,2019,0,0,1,1977.0,6,2,28.1,46.3,4,2,24.4,112.8,10.1,12.3,1,1,1,1,0,95183980,29424248
14175,1,12,1960,210339,2021,0,1,1,1980.0,6,4,31.7,52.6,4,2,26.4,198.1,17.9,22.1,1,1,1,0,0,95230331,29500022
14176,1,12,1960,116204,2021,0,1,1,1980.0,4,4,36.3,60.8,2,4,18.3,93.0,20.9,24.8,1,0,1,0,0,95225130,29494330
14177,1,12,1960,119596,2017,0,0,1,1980.0,5,4,38.1,63.5,3,2,18.3,275.8,24.4,25.3,1,0,1,0,0,95223999,29491001
14178,1,12,1960,179357,2020,0,0,0,0.0,5,0,23.6,39.9,1,19,4.6,35.4,0.0,0.0,0,0,0,1,0,95220732,29470092
14179,1,12,1960,179357,2020,0,0,0,0.0,5,0,23.6,39.9,1,19,4.6,29.9,0.0,0.0,0,0,0,1,1,95221843,29475706
