MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
1.0,1.0,1953.0,217.0,2020.0,N,N,N,1967.0,6,5,24.5,32.7,1.0,19.0,1.5,6.7,8.1,17.2,N,N,N,7,7
1.0,1.0,1991.0,336.0,2020.0,0,6,1,0.0,6,5,24.5,32.7,1.0,19.0,2.4,7.9,8.4,9.1,N,N,N,7,7
1.0,1.0,1960.0,950.0,2013.0,0,6,1,0.0,5,4,27.2,45.4,1.0,2.0,12.2,36.6,6.9,7.9,7,7,5,5,N
1.0,1.0,1960.0,950.0,2013.0,0,6,1,0.0,5,4,23.6,39.9,1.0,19.0,2.7,29.3,7.3,7.7,N,N,N,4,5
1.0,1.0,1960.0,950.0,2013.0,0,6,1,0.0,6,4,23.6,39.9,1.0,19.0,2.7,29.3,7.3,7.7,N,N,N,6,6
1.0,1.0,1960.0,546.0,2020.0,0,6,1,0.0,6,4,27.2,45.4,1.0,2.0,12.2,61.0,7.2,7.9,7,6,6,6,N
1.0,1.0,2018.0,950.0,2013.0,0,N,2,0.0,7,9,32.7,54.4,5.0,2.0,35.1,128.0,18.3,18.9,7,7,7,N,N
1.0,1.0,1969.0,2640.0,2020.0,0,6,1,0.0,6,6,40.8,68.0,1.0,2.0,9.1,46.3,12.2,12.9,7,7,6,6,N
1.0,1.0,1969.0,2640.0,2020.0,0,6,1,0.0,7,6,40.8,68.0,1.0,2.0,9.1,27.7,12.2,12.9,7,7,7,8,N
1.0,1.0,1969.0,2640.0,2020.0,0,6,1,0.0,6,6,40.8,68.0,1.0,2.0,9.1,18.6,12.2,12.9,7,7,6,5,N
1.0,1.0,1958.0,8773.0,2020.0,N,N,N,2002.0,5,N,23.6,39.9,1.0,19.0,2.7,11.9,0.0,0.0,N,N,N,5,5
1.0,1.0,1958.0,7893.0,2020.0,N,N,N,2002.0,5,N,23.6,39.9,1.0,19.0,3.0,10.1,0.0,0.0,N,N,N,5,6
1.0,1.0,1958.0,7893.0,2020.0,N,N,N,1970.0,6,N,24.5,32.7,1.0,19.0,2.7,9.1,0.0,0.0,N,N,N,5,6
1.0,1.0,1970.0,3429.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,2.4,11.9,0.0,0.0,N,N,N,5,6
1.0,1.0,1970.0,11708.0,2020.0,0,6,1,2013.0,6,4,24.5,32.7,1.0,19.0,2.1,13.4,19.3,29.9,N,N,N,7,7
1.0,1.0,1970.0,11708.0,2020.0,0,6,1,0.0,6,9,24.5,32.7,1.0,19.0,2.4,10.4,21.6,46.6,N,N,N,6,7
1.0,1.0,1974.0,8738.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,2.4,7.3,0.0,0.0,N,N,N,6,6
1.0,1.0,1958.0,8509.0,2020.0,0,6,1,1967.0,6,5,28.1,47.2,1.0,2.0,12.2,49.1,13.3,14.4,6,6,6,6,N
1.0,1.0,1958.0,9178.0,2020.0,N,N,N,1967.0,6,N,24.5,32.7,1.0,19.0,3.0,14.9,0.0,0.0,N,N,N,6,6
1.0,1.0,1958.0,8509.0,2020.0,0,6,1,1967.0,6,5,28.1,47.2,1.0,2.0,12.2,30.8,13.3,14.4,7,7,6,6,N
1.0,1.0,1962.0,10900.0,2020.0,N,N,N,2002.0,6,N,24.5,32.7,1.0,19.0,1.8,14.0,0.0,0.0,N,N,N,6,7
1.0,1.0,1962.0,11638.0,2020.0,0,6,1,0.0,6,5,28.1,47.2,1.0,2.0,12.2,61.0,13.2,14.0,7,7,6,N,N
1.0,1.0,1943.0,298.0,2020.0,0,6,1,0.0,6,4,23.6,52.6,1.0,1.0,9.4,57.0,7.2,7.8,6,6,6,6,N
1.0,1.0,1943.0,218.0,2020.0,0,6,1,1978.0,5,4,26.3,44.4,1.0,4.0,12.2,85.3,7.2,7.8,6,5,5,4,N
1.0,1.0,1985.0,775.0,2020.0,0,0,1,0.0,7,8,31.7,53.5,1.0,2.0,12.2,55.2,12.2,12.9,7,7,7,6,N
1.0,1.0,1985.0,775.0,2020.0,0,6,1,0.0,6,8,24.5,32.7,1.0,19.0,3.0,9.4,12.2,12.6,N,N,N,7,7
